,1,2,3,4,5
11111,0,0,0,0,0
11112,0,0,0,0,0
11113,0,0,0,0,0
11114,0,0,0,0,0
11115,0,0,0,0,0
11121,0,0,0,0,0
11122,0,0,0,0,0
11123,0,0,0,0,0
11124,0,0,0,0,0
11125,0,0,0,0,0
11131,0,0,0,0,0
11132,0,0,0,0,0
11133,0,0,0,0,0
11134,0,0,0,0,0
11135,0,0,0,0,0
11141,0,0,0,0,0
11142,0,0,0,0,0
11143,0,0,0,0,0
11144,0,0,0,0,0
11145,0,0,0,0,0
11151,0,0,0,0,0
11152,0,0,0,0,0
11153,0,0,0,0,0
11154,0,0,0,0,0
11155,0,0,0,0,0
11211,0,0,0,0,0
11212,0,0,0,0,0
11213,0,0,0,0,0
11214,0,0,0,0,0
11215,0,0,0,0,0
11221,0,0,0,0,0
11222,0,0,0,0,0
11223,0,0,0,0,0
11224,0,0,0,0,0
11225,0,0,0,0,0
11231,0,0,0,0,0
11232,0,0,0,0,0
11233,0,0,0,0,0
11234,0,0,0,0,0
11235,0,0,0,0,0
11241,0,0,0,0,0
11242,0,0,0,0,0
11243,0,0,0,0,0
11244,0,0,0,0,0
11245,0,0,0,0,0
11251,0,0,0,0,0
11252,0,0,0,0,0
11253,0,0,0,0,0
11254,0,0,0,0,0
11255,0,0,0,0,0
11311,0,0,0,0,0
11312,0,0,0,0,0
11313,0,0,0,0,0
11314,0,0,0,0,0
11315,0,0,0,0,0
11321,0,0,0,0,0
11322,0,0,0,0,0
11323,0,0,0,0,0
11324,0,0,0,0,0
11325,0,0,0,0,0
11331,0,0,0,0,0
11332,0,0,0,0,0
11333,0,0,0,0,0
11334,0,0,0,0,0
11335,0,0,0,0,0
11341,0,0,0,0,0
11342,0,0,0,0,0
11343,0,0,0,0,0
11344,0,0,0,0,0
11345,0,0,0,0,0
11351,0,0,0,0,0
11352,0,0,0,0,0
11353,0,0,0,0,0
11354,0,0,0,0,0
11355,0,0,0,0,0
11411,0,0,0,0,0
11412,0,0,0,0,0
11413,0,0,0,0,0
11414,0,0,0,0,0
11415,0,0,0,0,0
11421,0,0,0,0,0
11422,0,0,0,0,0
11423,0,0,0,0,0
11424,0,0,0,0,0
11425,0,0,0,0,0
11431,0,0,0,0,0
11432,0,0,0,0,0
11433,0,0,0,0,0
11434,0,0,0,0,0
11435,0,0,0,0,0
11441,0,0,0,0,0
11442,0,0,0,0,0
11443,0,0,0,0,0
11444,0,0,0,0,0
11445,0,0,0,0,0
11451,0,0,0,0,0
11452,0,0,0,0,0
11453,0,0,0,0,0
11454,0,0,0,0,0
11455,0,0,0,0,0
11511,0,0,0,0,0
11512,0,0,0,0,0
11513,0,0,0,0,0
11514,0,0,0,0,0
11515,0,0,0,0,0
11521,0,0,0,0,0
11522,0,0,0,0,0
11523,0,0,0,0,0
11524,0,0,0,0,0
11525,0,0,0,0,0
11531,0,0,0,0,0
11532,0,0,0,0,0
11533,0,0,0,0,0
11534,0,0,0,0,0
11535,0,0,0,0,0
11541,0,0,0,0,0
11542,0,0,0,0,0
11543,0,0,0,0,0
11544,0,0,0,0,0
11545,0,0,0,0,0
11551,0,0,0,0,0
11552,0,0,0,0,0
11553,0,0,0,0,0
11554,0,0,0,0,0
11555,0,0,0,0,0
12111,0,0,0,0,0
12112,0,0,0,0,0
12113,0,0,0,0,0
12114,0,0,0,0,0
12115,0,0,0,0,0
12121,0,0,0,0,0
12122,0,0,0,0,0
12123,0,0,0,0,0
12124,0,0,0,0,0
12125,0,0,0,0,0
12131,0,0,0,0,0
12132,0,0,0,0,0
12133,0,0,0,0,0
12134,0,0,0,0,0
12135,0,0,0,0,0
12141,0,0,0,0,0
12142,0,0,0,0,0
12143,0,0,0,0,0
12144,0,0,0,0,0
12145,0,0,0,0,0
12151,0,0,0,0,0
12152,0,0,0,0,0
12153,0,0,0,0,0
12154,0,0,0,0,0
12155,0,0,0,0,0
12211,0,0,0,0,0
12212,0,0,0,0,0
12213,0,0,0,0,0
12214,0,0,0,0,0
12215,0,0,0,0,0
12221,0,0,0,0,0
12222,0,0,0,0,0
12223,0,0,0,0,0
12224,0,0,0,0,0
12225,0,0,0,0,0
12231,0,0,0,0,0
12232,0,0,0,0,0
12233,0,0,0,0,0
12234,0,0,0,0,0
12235,0,0,0,0,0
12241,0,0,0,0,0
12242,0,0,0,0,0
12243,0,0,0,0,0
12244,0,0,0,0,0
12245,0,0,0,0,0
12251,0,0,0,0,0
12252,0,0,0,0,0
12253,0,0,0,0,0
12254,0,0,0,0,0
12255,0,0,0,0,0
12311,0,0,0,0,0
12312,0,0,0,0,0
12313,0,0,0,0,0
12314,0,0,0,0,0
12315,0,0,0,0,0
12321,0,0,0,0,0
12322,0,0,0,0,0
12323,0,0,0,0,0
12324,0,0,0,0,0
12325,0,0,0,0,0
12331,0,0,0,0,0
12332,0,0,0,0,0
12333,0,0,0,0,0
12334,0,0,0,0,0
12335,0,0,0,0,0
12341,0,0,0,0,0
12342,0,0,0,0,0
12343,0,0,0,0,0
12344,0,0,0,0,0
12345,0,0,0,0,0
12351,0,0,0,0,0
12352,0,0,0,0,0
12353,0,0,0,0,0
12354,0,0,0,0,0
12355,0,0,0,0,0
12411,0,0,0,0,0
12412,0,0,0,0,0
12413,0,0,0,0,0
12414,0,0,0,0,0
12415,0,0,0,0,0
12421,0,0,0,0,0
12422,0,0,0,0,0
12423,0,0,0,0,0
12424,0,0,0,0,0
12425,0,0,0,0,0
12431,0,0,0,0,0
12432,0,0,0,0,0
12433,0,0,0,0,0
12434,0,0,0,0,0
12435,0,0,0,0,0
12441,0,0,0,0,0
12442,0,0,0,0,0
12443,0,0,0,0,0
12444,0,0,0,0,0
12445,0,0,0,0,0
12451,0,0,0,0,0
12452,0,0,0,0,0
12453,0,0,0,0,0
12454,0,0,0,0,0
12455,0,0,0,0,0
12511,0,0,0,0,0
12512,0,0,0,0,0
12513,0,0,0,0,0
12514,0,0,0,0,0
12515,0,0,0,0,0
12521,0,0,0,0,0
12522,0,0,0,0,0
12523,0,0,0,0,0
12524,0,0,0,0,0
12525,0,0,0,0,0
12531,0,0,0,0,0
12532,0,0,0,0,0
12533,0,0,0,0,0
12534,0,0,0,0,0
12535,0,0,0,0,0
12541,0,0,0,0,0
12542,0,0,0,0,0
12543,0,0,0,0,0
12544,0,0,0,0,0
12545,0,0,0,0,0
12551,0,0,0,0,0
12552,0,0,0,0,0
12553,0,0,0,0,0
12554,0,0,0,0,0
12555,0,0,0,0,0
13111,0,0,0,0,0
13112,0,0,0,0,0
13113,0,0,0,0,0
13114,0,0,0,0,0
13115,0,0,0,0,0
13121,0,0,0,0,0
13122,0,0,0,0,0
13123,0,0,0,0,0
13124,0,0,0,0,0
13125,0,0,0,0,0
13131,0,0,0,0,0
13132,0,0,0,0,0
13133,0,0,0,0,0
13134,0,0,0,0,0
13135,0,0,0,0,0
13141,0,0,0,0,0
13142,0,0,0,0,0
13143,0,0,0,0,0
13144,0,0,0,0,0
13145,0,0,0,0,0
13151,0,0,0,0,0
13152,0,0,0,0,0
13153,0,0,0,0,0
13154,0,0,0,0,0
13155,0,0,0,0,0
13211,0,0,0,0,0
13212,0,0,0,0,0
13213,0,0,0,0,0
13214,0,0,0,0,0
13215,0,0,0,0,0
13221,0,0,0,0,0
13222,0,0,0,0,0
13223,0,0,0,0,0
13224,0,0,0,0,0
13225,0,0,0,0,0
13231,0,0,0,0,0
13232,0,0,0,0,0
13233,0,0,0,0,0
13234,0,0,0,0,0
13235,0,0,0,0,0
13241,0,0,0,0,0
13242,0,0,0,0,0
13243,0,0,0,0,0
13244,0,0,0,0,0
13245,0,0,0,0,0
13251,0,0,0,0,0
13252,0,0,0,0,0
13253,0,0,0,0,0
13254,0,0,0,0,0
13255,0,0,0,0,0
13311,0,0,0,0,0
13312,0,0,0,0,0
13313,0,0,0,0,0
13314,0,0,0,0,0
13315,0,0,0,0,0
13321,0,0,0,0,0
13322,0,0,0,0,0
13323,0,0,0,0,0
13324,0,0,0,0,0
13325,0,0,0,0,0
13331,0,0,0,0,0
13332,0,0,0,0,0
13333,0,0,0,0,0
13334,0,0,0,0,0
13335,0,0,0,0,0
13341,0,0,0,0,0
13342,0,0,0,0,0
13343,0,0,0,0,0
13344,0,0,0,0,0
13345,0,0,0,0,0
13351,0,0,0,0,0
13352,0,0,0,0,0
13353,0,0,0,0,0
13354,0,0,0,0,0
13355,0,0,0,0,0
13411,0,0,0,0,0
13412,0,0,0,0,0
13413,0,0,0,0,0
13414,0,0,0,0,0
13415,0,0,0,0,0
13421,0,0,0,0,0
13422,0,0,0,0,0
13423,0,0,0,0,0
13424,0,0,0,0,0
13425,0,0,0,0,0
13431,0,0,0,0,0
13432,0,0,0,0,0
13433,0,0,0,0,0
13434,0,0,0,0,0
13435,0,0,0,0,0
13441,0,0,0,0,0
13442,0,0,0,0,0
13443,0,0,0,0,0
13444,0,0,0,0,0
13445,0,0,0,0,0
13451,0,0,0,0,0
13452,0,0,0,0,0
13453,0,0,0,0,0
13454,0,0,0,0,0
13455,0,0,0,0,0
13511,0,0,0,0,0
13512,0,0,0,0,0
13513,0,0,0,0,0
13514,0,0,0,0,0
13515,0,0,0,0,0
13521,0,0,0,0,0
13522,0,0,0,0,0
13523,0,0,0,0,0
13524,0,0,0,0,0
13525,0,0,0,0,0
13531,0,0,0,0,0
13532,0,0,0,0,0
13533,0,0,0,0,0
13534,0,0,0,0,0
13535,0,0,0,0,0
13541,0,0,0,0,0
13542,0,0,0,0,0
13543,0,0,0,0,0
13544,0,0,0,0,0
13545,0,0,0,0,0
13551,0,0,0,0,0
13552,0,0,0,0,0
13553,0,0,0,0,0
13554,0,0,0,0,0
13555,0,0,0,0,0
14111,0,0,0,0,0
14112,0,0,0,0,0
14113,0,0,0,0,0
14114,0,0,0,0,0
14115,0,0,0,0,0
14121,0,0,0,0,0
14122,0,0,0,0,0
14123,0,0,0,0,0
14124,0,0,0,0,0
14125,0,0,0,0,0
14131,0,0,0,0,0
14132,0,0,0,0,0
14133,0,0,0,0,0
14134,0,0,0,0,0
14135,0,0,0,0,0
14141,0,0,0,0,0
14142,0,0,0,0,0
14143,0,0,0,0,0
14144,0,0,0,0,0
14145,0,0,0,0,0
14151,0,0,0,0,0
14152,0,0,0,0,0
14153,0,0,0,0,0
14154,0,0,0,0,0
14155,0,0,0,0,0
14211,0,0,0,0,0
14212,0,0,0,0,0
14213,0,0,0,0,0
14214,0,0,0,0,0
14215,0,0,0,0,0
14221,0,0,0,0,0
14222,0,0,0,0,0
14223,0,0,0,0,0
14224,0,0,0,0,0
14225,0,0,0,0,0
14231,0,0,0,0,0
14232,0,0,0,0,0
14233,0,0,0,0,0
14234,0,0,0,0,0
14235,0,0,0,0,0
14241,0,0,0,0,0
14242,0,0,0,0,0
14243,0,0,0,0,0
14244,0,0,0,0,0
14245,0,0,0,0,0
14251,0,0,0,0,0
14252,0,0,0,0,0
14253,0,0,0,0,0
14254,0,0,0,0,0
14255,0,0,0,0,0
14311,0,0,0,0,0
14312,0,0,0,0,0
14313,0,0,0,0,0
14314,0,0,0,0,0
14315,0,0,0,0,0
14321,0,0,0,0,0
14322,0,0,0,0,0
14323,0,0,0,0,0
14324,0,0,0,0,0
14325,0,0,0,0,0
14331,0,0,0,0,0
14332,0,0,0,0,0
14333,0,0,0,0,0
14334,0,0,0,0,0
14335,0,0,0,0,0
14341,0,0,0,0,0
14342,0,0,0,0,0
14343,0,0,0,0,0
14344,0,0,0,0,0
14345,0,0,0,0,0
14351,0,0,0,0,0
14352,0,0,0,0,0
14353,0,0,0,0,0
14354,0,0,0,0,0
14355,0,0,0,0,0
14411,0,0,0,0,0
14412,0,0,0,0,0
14413,0,0,0,0,0
14414,0,0,0,0,0
14415,0,0,0,0,0
14421,0,0,0,0,0
14422,0,0,0,0,0
14423,0,0,0,0,0
14424,0,0,0,0,0
14425,0,0,0,0,0
14431,0,0,0,0,0
14432,0,0,0,0,0
14433,0,0,0,0,0
14434,0,0,0,0,0
14435,0,0,0,0,0
14441,0,0,0,0,0
14442,0,0,0,0,0
14443,0,0,0,0,0
14444,0,0,0,0,0
14445,0,0,0,0,0
14451,0,0,0,0,0
14452,0,0,0,0,0
14453,0,0,0,0,0
14454,0,0,0,0,0
14455,0,0,0,0,0
14511,0,0,0,0,0
14512,0,0,0,0,0
14513,0,0,0,0,0
14514,0,0,0,0,0
14515,0,0,0,0,0
14521,0,0,0,0,0
14522,0,0,0,0,0
14523,0,0,0,0,0
14524,0,0,0,0,0
14525,0,0,0,0,0
14531,0,0,0,0,0
14532,0,0,0,0,0
14533,0,0,0,0,0
14534,0,0,0,0,0
14535,0,0,0,0,0
14541,0,0,0,0,0
14542,0,0,0,0,0
14543,0,0,0,0,0
14544,0,0,0,0,0
14545,0,0,0,0,0
14551,0,0,0,0,0
14552,0,0,0,0,0
14553,0,0,0,0,0
14554,0,0,0,0,0
14555,0,0,0,0,0
15111,0,0,0,0,0
15112,0,0,0,0,0
15113,0,0,0,0,0
15114,0,0,0,0,0
15115,0,0,0,0,0
15121,0,0,0,0,0
15122,0,0,0,0,0
15123,0,0,0,0,0
15124,0,0,0,0,0
15125,0,0,0,0,0
15131,0,0,0,0,0
15132,0,0,0,0,0
15133,0,0,0,0,0
15134,0,0,0,0,0
15135,0,0,0,0,0
15141,0,0,0,0,0
15142,0,0,0,0,0
15143,0,0,0,0,0
15144,0,0,0,0,0
15145,0,0,0,0,0
15151,0,0,0,0,0
15152,0,0,0,0,0
15153,0,0,0,0,0
15154,0,0,0,0,0
15155,0,0,0,0,0
15211,0,0,0,0,0
15212,0,0,0,0,0
15213,0,0,0,0,0
15214,0,0,0,0,0
15215,0,0,0,0,0
15221,0,0,0,0,0
15222,0,0,0,0,0
15223,0,0,0,0,0
15224,0,0,0,0,0
15225,0,0,0,0,0
15231,0,0,0,0,0
15232,0,0,0,0,0
15233,0,0,0,0,0
15234,0,0,0,0,0
15235,0,0,0,0,0
15241,0,0,0,0,0
15242,0,0,0,0,0
15243,0,0,0,0,0
15244,0,0,0,0,0
15245,0,0,0,0,0
15251,0,0,0,0,0
15252,0,0,0,0,0
15253,0,0,0,0,0
15254,0,0,0,0,0
15255,0,0,0,0,0
15311,0,0,0,0,0
15312,0,0,0,0,0
15313,0,0,0,0,0
15314,0,0,0,0,0
15315,0,0,0,0,0
15321,0,0,0,0,0
15322,0,0,0,0,0
15323,0,0,0,0,0
15324,0,0,0,0,0
15325,0,0,0,0,0
15331,0,0,0,0,0
15332,0,0,0,0,0
15333,0,0,0,0,0
15334,0,0,0,0,0
15335,0,0,0,0,0
15341,0,0,0,0,0
15342,0,0,0,0,0
15343,0,0,0,0,0
15344,0,0,0,0,0
15345,0,0,0,0,0
15351,0,0,0,0,0
15352,0,0,0,0,0
15353,0,0,0,0,0
15354,0,0,0,0,0
15355,0,0,0,0,0
15411,0,0,0,0,0
15412,0,0,0,0,0
15413,0,0,0,0,0
15414,0,0,0,0,0
15415,0,0,0,0,0
15421,0,0,0,0,0
15422,0,0,0,0,0
15423,0,0,0,0,0
15424,0,0,0,0,0
15425,0,0,0,0,0
15431,0,0,0,0,0
15432,0,0,0,0,0
15433,0,0,0,0,0
15434,0,0,0,0,0
15435,0,0,0,0,0
15441,0,0,0,0,0
15442,0,0,0,0,0
15443,0,0,0,0,0
15444,0,0,0,0,0
15445,0,0,0,0,0
15451,0,0,0,0,0
15452,0,0,0,0,0
15453,0,0,0,0,0
15454,0,0,0,0,0
15455,0,0,0,0,0
15511,0,0,0,0,0
15512,0,0,0,0,0
15513,0,0,0,0,0
15514,0,0,0,0,0
15515,0,0,0,0,0
15521,0,0,0,0,0
15522,0,0,0,0,0
15523,0,0,0,0,0
15524,0,0,0,0,0
15525,0,0,0,0,0
15531,0,0,0,0,0
15532,0,0,0,0,0
15533,0,0,0,0,0
15534,0,0,0,0,0
15535,0,0,0,0,0
15541,0,0,0,0,0
15542,0,0,0,0,0
15543,0,0,0,0,0
15544,0,0,0,0,0
15545,0,0,0,0,0
15551,0,0,0,0,0
15552,0,0,0,0,0
15553,0,0,0,0,0
15554,0,0,0,0,0
15555,0,0,0,0,0
21111,0,0,0,0,0
21112,0,0,0,0,0
21113,0,0,0,0,0
21114,0,0,0,0,0
21115,0,0,0,0,0
21121,0,0,0,0,0
21122,0,0,0,0,0
21123,0,0,0,0,0
21124,0,0,0,0,0
21125,0,0,0,0,0
21131,0,0,0,0,0
21132,0,0,0,0,0
21133,0,0,0,0,0
21134,0,0,0,0,0
21135,0,0,0,0,0
21141,0,0,0,0,0
21142,0,0,0,0,0
21143,0,0,0,0,0
21144,0,0,0,0,0
21145,0,0,0,0,0
21151,0,0,0,0,0
21152,0,0,0,0,0
21153,0,0,0,0,0
21154,0,0,0,0,0
21155,0,0,0,0,0
21211,0,0,0,0,0
21212,0,0,0,0,0
21213,0,0,0,0,0
21214,0,0,0,0,0
21215,0,0,0,0,0
21221,0,0,0,0,0
21222,0,0,0,0,0
21223,0,0,0,0,0
21224,0,0,0,0,0
21225,0,0,0,0,0
21231,0,0,0,0,0
21232,0,0,0,0,0
21233,0,0,0,0,0
21234,0,0,0,0,0
21235,0,0,0,0,0
21241,0,0,0,0,0
21242,0,0,0,0,0
21243,0,0,0,0,0
21244,0,0,0,0,0
21245,0,0,0,0,0
21251,0,0,0,0,0
21252,0,0,0,0,0
21253,0,0,0,0,0
21254,0,0,0,0,0
21255,0,0,0,0,0
21311,0,0,0,0,0
21312,0,0,0,0,0
21313,0,0,0,0,0
21314,0,0,0,0,0
21315,0,0,0,0,0
21321,0,0,0,0,0
21322,0,0,0,0,0
21323,0,0,0,0,0
21324,0,0,0,0,0
21325,0,0,0,0,0
21331,0,0,0,0,0
21332,0,0,0,0,0
21333,0,0,0,0,0
21334,0,0,0,0,0
21335,0,0,0,0,0
21341,0,0,0,0,0
21342,0,0,0,0,0
21343,0,0,0,0,0
21344,0,0,0,0,0
21345,0,0,0,0,0
21351,0,0,0,0,0
21352,0,0,0,0,0
21353,0,0,0,0,0
21354,0,0,0,0,0
21355,0,0,0,0,0
21411,0,0,0,0,0
21412,0,0,0,0,0
21413,0,0,0,0,0
21414,0,0,0,0,0
21415,0,0,0,0,0
21421,0,0,0,0,0
21422,0,0,0,0,0
21423,0,0,0,0,0
21424,0,0,0,0,0
21425,0,0,0,0,0
21431,0,0,0,0,0
21432,0,0,0,0,0
21433,0,0,0,0,0
21434,0,0,0,0,0
21435,0,0,0,0,0
21441,0,0,0,0,0
21442,0,0,0,0,0
21443,0,0,0,0,0
21444,0,0,0,0,0
21445,0,0,0,0,0
21451,0,0,0,0,0
21452,0,0,0,0,0
21453,0,0,0,0,0
21454,0,0,0,0,0
21455,0,0,0,0,0
21511,0,0,0,0,0
21512,0,0,0,0,0
21513,0,0,0,0,0
21514,0,0,0,0,0
21515,0,0,0,0,0
21521,0,0,0,0,0
21522,0,0,0,0,0
21523,0,0,0,0,0
21524,0,0,0,0,0
21525,0,0,0,0,0
21531,0,0,0,0,0
21532,0,0,0,0,0
21533,0,0,0,0,0
21534,0,0,0,0,0
21535,0,0,0,0,0
21541,0,0,0,0,0
21542,0,0,0,0,0
21543,0,0,0,0,0
21544,0,0,0,0,0
21545,0,0,0,0,0
21551,0,0,0,0,0
21552,0,0,0,0,0
21553,0,0,0,0,0
21554,0,0,0,0,0
21555,0,0,0,0,0
22111,0,0,0,0,0
22112,0,0,0,0,0
22113,0,0,0,0,0
22114,0,0,0,0,0
22115,0,0,0,0,0
22121,0,0,0,0,0
22122,0,0,0,0,0
22123,0,0,0,0,0
22124,0,0,0,0,0
22125,0,0,0,0,0
22131,0,0,0,0,0
22132,0,0,0,0,0
22133,0,0,0,0,0
22134,0,0,0,0,0
22135,0,0,0,0,0
22141,0,0,0,0,0
22142,0,0,0,0,0
22143,0,0,0,0,0
22144,0,0,0,0,0
22145,0,0,0,0,0
22151,0,0,0,0,0
22152,0,0,0,0,0
22153,0,0,0,0,0
22154,0,0,0,0,0
22155,0,0,0,0,0
22211,0,0,0,0,0
22212,0,0,0,0,0
22213,0,0,0,0,0
22214,0,0,0,0,0
22215,0,0,0,0,0
22221,0,0,0,0,0
22222,0,0,0,0,0
